,PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Age_scaled,Fare_scaled
0,1,0,22.0,1,0,7.25,1,0,0,0,1,0,0,1,0,1,-0.5613800809101931,-0.5024451714361923
1,2,1,38.0,1,0,71.2833,0,1,1,0,0,1,0,0,1,0,0.6131707530307827,0.7868452935884461
2,3,1,26.0,0,0,7.925,1,0,0,0,1,0,0,1,1,0,-0.26774237242494914,-0.4888542575852486
3,4,1,35.0,1,0,53.1,0,1,0,0,1,1,0,0,1,0,0.39294247166684976,0.4207302360686478
4,5,0,35.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,0.39294247166684976,-0.4863374216869257
5,6,0,23.838952586083504,0,0,8.4583,1,0,0,1,0,0,0,1,0,1,-0.4263836250625497,-0.47811642890864375
6,7,0,54.0,0,0,51.8625,0,1,0,0,1,1,0,0,0,1,1.7877215869717586,0.395813560675251
7,8,0,2.0,3,1,21.075,1,0,0,0,1,0,0,1,0,1,-2.029568623336413,-0.22408312108167944
8,9,1,27.0,0,2,11.1333,1,0,0,0,1,0,0,1,1,0,-0.19433294530363815,-0.4242561406845337
9,10,1,14.0,1,0,30.0708,1,0,1,0,0,0,1,0,1,0,-1.1486554978806809,-0.04295550208861426
10,11,1,4.0,1,1,16.7,0,1,0,0,1,0,0,1,1,0,-1.8827497690937909,-0.312172377522981
11,12,1,58.0,0,0,26.55,0,1,0,0,1,1,0,0,1,0,2.0813592954570024,-0.11384570873513637
12,13,0,20.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,-0.7081989351528151,-0.4863374216869257
13,14,0,39.0,1,5,31.275,1,0,0,0,1,0,0,1,0,1,0.6865801801520938,-0.01870931177853076
14,15,0,14.0,0,0,7.8542,1,0,0,0,1,0,0,1,1,0,-1.1486554978806809,-0.4902797934380587
15,16,1,55.0,0,0,16.0,1,0,0,0,1,0,1,0,1,0,1.8611310140930695,-0.3262666585535892
16,17,0,2.0,4,1,29.125,1,0,0,1,0,0,0,1,0,1,-2.029568623336413,-0.06199888922968463
17,18,1,32.06649305006158,0,0,13.0,1,0,0,0,1,0,1,0,0,1,0.17759540701548612,-0.3866707201133388
18,19,0,31.0,1,0,18.0,1,0,0,0,1,0,0,1,1,0,0.09930476318160582,-0.2859972841804228
19,20,1,29.518205142080145,0,0,7.225,1,0,1,0,0,0,0,1,1,0,-0.009472948449595153,-0.5029485386158568
20,21,0,35.0,0,0,26.0,1,0,0,0,1,0,1,0,0,1,0.39294247166684976,-0.12491978668775715
21,22,1,34.0,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0.31953304454553877,-0.3866707201133388
22,23,1,15.0,0,0,8.0292,1,0,0,1,0,0,0,1,1,0,-1.07524607075937,-0.4867562231804066
23,24,1,28.0,0,0,35.5,0,1,0,0,1,1,0,0,0,1,-0.12092351818232715,0.06635974158478332
24,25,0,8.0,3,1,21.075,1,0,0,0,1,0,0,1,1,0,-1.589112060608547,-0.22408312108167944
25,26,1,38.0,1,5,31.3875,1,0,0,0,1,0,0,1,1,0,0.6131707530307827,-0.016444159470040135
26,27,0,29.518205142080145,0,0,7.225,1,0,1,0,0,0,0,1,0,1,-0.009472948449595153,-0.5029485386158568
27,28,0,19.0,3,2,263.0,0,1,0,0,1,1,0,0,0,1,-0.781608362274126,4.647001076532463
28,29,1,22.380113238826777,0,0,7.8792,1,0,0,1,0,0,0,1,1,0,-0.5334761858066933,-0.48977642625839407
29,30,0,27.947206162930836,0,0,7.8958,1,0,0,0,1,0,0,1,0,1,-0.12479908351711029,-0.4894421904510968
30,31,0,40.0,0,0,27.7208,1,0,1,0,0,1,0,0,0,1,0.7599896072734047,-0.09027201697708476
31,32,1,36.108048222222244,1,0,146.5208,0,1,1,0,0,1,0,0,1,0,0.4742836568829718,2.301728820789
32,33,1,35.29582429902352,0,0,7.75,1,0,0,1,0,0,0,1,1,0,0.4146587639867299,-0.49237782784290063
33,34,0,66.0,0,0,10.5,1,0,0,0,1,0,1,0,0,1,2.6686347124274907,-0.43700743807979686
34,35,0,28.0,1,0,82.1708,1,0,1,0,0,1,0,0,0,1,-0.12092351818232715,1.0060617003323709
35,36,0,42.0,1,0,52.0,1,0,0,0,1,1,0,0,0,1,0.9068084615160267,0.39858208016340624
36,37,1,22.876306861888096,0,0,7.2292,1,0,1,0,0,0,0,1,0,1,-0.4970508961965141,-0.5028639729296732
37,38,0,21.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,-0.634789508031504,-0.4863374216869257
38,39,0,18.0,2,0,18.0,1,0,0,0,1,0,0,1,1,0,-0.855017789395437,-0.2859972841804228
39,40,1,14.0,1,0,11.2417,1,0,1,0,0,0,0,1,1,0,-1.1486554978806809,-0.42207354059350805
40,41,0,40.0,1,0,9.475,1,0,0,0,1,0,0,1,1,0,0.7599896072734047,-0.4576454924460446
41,42,0,27.0,1,0,21.0,1,0,0,0,1,0,1,0,1,0,-0.19433294530363815,-0.22559322262067316
42,43,0,27.947206162930836,0,0,7.8958,1,0,1,0,0,0,0,1,0,1,-0.12479908351711029,-0.4894421904510968
43,44,1,3.0,1,2,41.5792,1,0,1,0,0,0,1,0,1,0,-1.956159196215102,0.18876253192945994
44,45,1,19.0,0,0,7.8792,1,0,0,1,0,0,0,1,1,0,-0.781608362274126,-0.48977642625839407
45,46,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,0,1,0,1,0.07770233463071162,-0.4863374216869257
46,47,0,33.12898535353537,1,0,15.5,1,0,0,1,0,0,0,1,0,1,0.25559235833429905,-0.3363340021468808
47,48,1,35.29582429902352,0,0,7.75,1,0,0,1,0,0,0,1,1,0,0.4146587639867299,-0.49237782784290063
48,49,0,23.459683333333334,2,0,21.6792,1,0,1,0,0,0,0,1,0,1,-0.4542255636316674,-0.21191774308354583
49,50,0,18.0,1,0,17.8,1,0,0,0,1,0,0,1,1,0,-0.855017789395437,-0.29002422161773944
50,51,0,7.0,4,1,39.6875,1,0,0,0,1,0,0,1,0,1,-1.662521487729858,0.1506737441786005
51,52,0,21.0,0,0,7.8,1,0,0,0,1,0,0,1,0,1,-0.634789508031504,-0.4913710934835715
52,53,1,49.0,1,0,76.7292,0,1,1,0,0,1,0,0,1,0,1.4206744513652036,0.8964967865378598
53,54,1,29.0,1,0,26.0,1,0,0,0,1,0,1,0,1,0,-0.047514091061016166,-0.12491978668775715
54,55,0,65.0,0,1,61.9792,0,1,1,0,0,1,0,0,0,1,2.5952252853061797,0.5995101505357573
55,56,1,44.06483035714284,0,0,35.5,0,1,0,0,1,1,0,0,0,1,1.0583864751365744,0.06635974158478332
56,57,1,21.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0,-0.634789508031504,-0.43700743807979686
57,58,0,28.5,0,0,7.2292,1,0,1,0,0,0,0,1,0,1,-0.08421880462167165,-0.5028639729296732
58,59,1,5.0,1,2,27.75,1,0,0,0,1,0,1,0,1,0,-1.8093403419724798,-0.08968408411123653
59,60,0,11.0,5,2,46.9,1,0,0,0,1,0,0,1,0,1,-1.368883779244614,0.2958951755118318
60,61,0,22.0,0,0,7.2292,1,0,1,0,0,0,0,1,0,1,-0.5613800809101931,-0.5028639729296732
61,62,1,38.0,0,0,80.0,0,1,0,0,0,1,0,0,1,0,0.6131707530307827,0.962353321387736
62,63,0,45.0,1,0,83.475,0,1,0,0,1,1,0,0,0,1,1.1270367428799597,1.0323213593611125
63,64,0,4.0,3,2,27.9,1,0,0,0,1,0,0,1,0,1,-1.8827497690937909,-0.08666388103324908
64,65,0,41.200088477638616,0,0,27.7208,1,0,1,0,0,1,0,0,0,1,0.8480874149117418,-0.09027201697708476
65,66,1,17.099915952380954,1,1,15.2458,1,0,1,0,0,0,0,1,0,1,-0.921092443692182,-0.3414522396297103
66,67,1,29.0,0,0,10.5,0,1,0,0,1,0,1,0,1,0,-0.047514091061016166,-0.43700743807979686
67,68,0,19.0,0,0,8.1583,1,0,0,0,1,0,0,1,0,1,-0.781608362274126,-0.4841568350646187
68,69,1,17.0,4,2,7.925,1,0,0,0,1,0,0,1,1,0,-0.928427216516748,-0.4888542575852486
69,70,0,26.0,2,0,8.6625,1,0,0,0,1,0,0,1,0,1,-0.26774237242494914,-0.47400492578514347
70,71,0,32.0,0,0,10.5,1,0,0,0,1,0,1,0,0,1,0.1727141903029168,-0.43700743807979686
71,72,0,16.0,5,2,46.9,1,0,0,0,1,0,0,1,1,0,-1.001836643638059,0.2958951755118318
72,73,0,21.0,0,0,73.5,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,0.8314778546749452
73,74,0,26.0,1,0,14.4542,1,0,1,0,0,0,0,1,0,1,-0.26774237242494914,-0.3573908580066095
74,75,1,32.0,0,0,56.4958,1,0,0,0,1,0,0,1,0,1,0.1727141903029168,0.48910360681684706
75,76,0,25.0,0,0,7.65,0,1,0,0,1,0,0,1,0,1,-0.3411517995462601,-0.494391296561559
76,77,0,27.947206162930836,0,0,7.8958,1,0,0,0,1,0,0,1,0,1,-0.12479908351711029,-0.4894421904510968
77,78,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,0,1,0,1,0.07770233463071162,-0.4863374216869257
78,79,1,0.83,0,2,29.0,1,0,0,0,1,0,1,0,0,1,-2.1154576530683467,-0.06451572512800753
79,80,1,30.0,0,0,12.475,1,0,0,0,1,0,0,1,1,0,0.025895336060294823,-0.397241430886295
80,81,0,22.0,0,0,9.0,1,0,0,0,1,0,0,1,0,1,-0.5613800809101931,-0.46720946885967163
81,82,1,29.0,0,0,9.5,1,0,0,0,1,0,0,1,0,1,-0.047514091061016166,-0.45714212526638004
82,83,1,23.322627388583673,0,0,7.7875,1,0,0,1,0,0,0,1,1,0,-0.46428676201931013,-0.49162277707340374
83,84,0,28.0,0,0,47.1,1,0,0,0,1,1,0,0,0,1,-0.12092351818232715,0.29992211294914856
84,85,1,17.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0,-0.928427216516748,-0.43700743807979686
85,86,1,33.0,3,0,15.85,1,0,0,0,1,0,0,1,1,0,0.24612361742422778,-0.32928686163157667
86,87,0,16.0,1,3,34.375,1,0,0,0,1,0,0,1,0,1,-1.001836643638059,0.04370821849987721
87,88,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,0,1,0,1,0.07770233463071162,-0.4863374216869257
88,89,1,23.0,3,2,263.0,0,1,0,0,1,1,0,0,1,0,-0.4879706537888821,4.647001076532463
89,90,0,24.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,-0.4145612266675711,-0.4863374216869257
90,91,0,29.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,-0.047514091061016166,-0.4863374216869257
